name	type	units
EEG001	EEG	microV
EEG002	EEG	microV
EEG003	EEG	microV
EEG004	EEG	microV
EEG005	EEG	microV
EEG006	EEG	microV
EEG007	EEG	microV
EEG008	EEG	microV
EEG009	EEG	microV
EEG010	EEG	microV
EEG011	EEG	microV
EEG012	EEG	microV
EEG013	EEG	microV
EEG014	EEG	microV
EEG015	EEG	microV
EEG016	EEG	microV
EEG017	EEG	microV
EEG018	EEG	microV
EEG019	EEG	microV
EEG020	EEG	microV
EEG021	EEG	microV
EEG022	EEG	microV
EEG023	EEG	microV
EEG024	EEG	microV
EEG025	EEG	microV
EEG026	EEG	microV
EEG027	EEG	microV
EEG028	EEG	microV
EEG029	EEG	microV
EEG030	EEG	microV
EEG031	EEG	microV
EEG032	EEG	microV
EEG033	EEG	microV
EEG034	EEG	microV
EEG035	EEG	microV
EEG036	EEG	microV
EEG037	EEG	microV
EEG038	EEG	microV
EEG039	EEG	microV
EEG040	EEG	microV
EEG041	EEG	microV
EEG042	EEG	microV
EEG043	EEG	microV
EEG044	EEG	microV
EEG045	EEG	microV
EEG046	EEG	microV
EEG047	EEG	microV
EEG048	EEG	microV
EEG049	EEG	microV
EEG050	EEG	microV
EEG051	EEG	microV
EEG052	EEG	microV
EEG053	EEG	microV
EEG054	EEG	microV
EEG055	EEG	microV
EEG056	EEG	microV
EEG057	EEG	microV
EEG058	EEG	microV
EEG059	EEG	microV
EEG060	EEG	microV
EEG061	HEOG	n/a
EEG062	VEOG	n/a
EEG063	EKG	n/a
EEG064	EKG	n/a
EEG065	EEG	microV
EEG066	EEG	microV
EEG067	EEG	microV
EEG068	EEG	microV
EEG069	EEG	microV
EEG070	EEG	microV
EEG071	EEG	microV
EEG072	EEG	microV
EEG073	EEG	microV
EEG074	EEG	microV
