name	x	y	z
EEG001	-7.60	4.19	3.03
EEG002	9.64	0.08	5.05
EEG003	-7.52	-4.84	2.53
EEG004	6.84	4.79	4.75
EEG005	7.85	2.76	7.07
EEG006	8.31	-0.24	8.24
EEG007	8.05	-3.54	7.07
EEG008	7.50	-5.31	4.51
EEG009	4.29	6.18	5.03
EEG010	4.93	5.16	7.01
EEG011	5.17	3.75	8.84
EEG012	5.51	1.67	10.16
EEG013	5.81	-0.64	10.68
EEG014	5.70	-2.80	10.27
EEG015	5.77	-4.86	8.56
EEG016	5.58	-6.17	6.68
EEG017	5.01	-6.94	4.36
EEG018	1.56	7.19	2.61
EEG019	1.78	7.13	5.44
EEG020	2.10	6.13	8.05
EEG021	2.19	4.51	10.26
EEG022	2.61	2.18	11.81
EEG023	2.63	-0.49	12.31
EEG024	2.63	-3.41	11.52
EEG025	2.60	-5.74	9.69
EEG026	2.56	-7.32	7.08
EEG027	2.21	-7.96	4.57
EEG028	2.92	-7.93	1.58
EEG029	-0.06	7.62	2.22
EEG030	-0.76	7.47	5.23
EEG031	-0.58	6.70	8.46
EEG032	-0.36	5.04	10.93
EEG033	0.18	2.46	12.31
EEG034	-0.29	-0.19	13.14
EEG035	-0.19	-3.37	12.49
EEG036	-0.27	-6.08	10.74
EEG037	-0.27	-7.72	7.93
EEG038	-0.21	-8.25	4.83
EEG039	0.92	-7.94	1.80
EEG040	-3.90	6.90	2.44
EEG041	-3.68	7.11	5.52
EEG042	-3.45	6.42	8.73
EEG043	-3.20	4.83	11.07
EEG044	-3.05	2.30	12.68
EEG045	-3.16	-0.57	12.88
EEG046	-2.99	-3.45	12.34
EEG047	-3.15	-5.88	10.77
EEG048	-3.03	-7.42	8.16
EEG049	-3.29	-7.74	5.03
EEG050	-3.44	-7.51	1.78
EEG051	-5.94	5.66	2.79
EEG052	-6.18	6.01	5.99
EEG053	-6.18	5.22	8.31
EEG054	-6.13	3.96	10.17
EEG055	-5.75	1.88	11.46
EEG056	-6.21	-0.64	11.46
EEG057	-5.76	-3.10	11.21
EEG058	-5.85	-5.02	9.98
EEG059	-5.63	-6.36	7.76
EEG060	-5.67	-6.68	5.32
EEG061	n/a	n/a	n/a
EEG062	n/a	n/a	n/a
EEG063	n/a	n/a	n/a
EEG064	n/a	n/a	n/a
EEG065	-5.56	-6.41	2.12
EEG066	-7.89	4.24	6.08
EEG067	-8.13	2.53	8.60
EEG068	-8.41	-0.59	9.07
EEG069	-8.02	-3.35	8.27
EEG070	-7.70	-4.91	5.60
EEG071	-9.32	2.24	6.26
EEG072	-9.53	-0.30	5.99
EEG073	-9.01	-3.02	5.95
EEG074	-9.11	-0.24	2.70
